Measure,PCH,Time
1,Cmin9,0.0
5,Cmin7,8.0
12,Fmin7,22.0
12,G7,22.666666666666668
12,Cmin7,23.333333333333332
13,Cmin11,24.0
14,G7,26.0
14,C13,27.0
15,Cmin7,28.0
16,Gb13,30.0
16,Fmin9,31.0
18,Fmin7,34.0
18,G7,34.666666666666664
18,Cmin11,35.333333333333336
20,Cmin7,38.0
21,Ab,40.0
21,Bb,40.666666666666664
21,F,41.333333333333336
22,F,42.0
23,Ab,44.0
23,Bb,44.666666666666664
23,Fmin7,45.333333333333336
24,Gmin7,46.0
25,Bb/A-1,48.0
26,Eb,50.0
26,Bb9,51.0
27,Ab9,52.0
28,Ab,54.0
29,Cmin7,56.0
36,Fmin7,70.0
36,G7,70.66666666666667
36,Cmin9,71.33333333333333
38,C7(#11),74.0
39,Bb7(#11),76.0
40,Ab7(#11),78.0
41,Fmin7,80.0
41,G13,81.0
42,Fmin7,82.0
42,G13,83.0
