Measure,FairWeather,Time
1,A-113,0.0
5,G13,8.0
7,A-113,12.0
9,Cmaj7,16.0
10,E7,18.0
11,B-17,20.0
12,A7,22.0
13,G-1dim,24.0
14,B7,26.0
15,Edim,28.0
16,E-17,30.0
17,A-17,32.0
18,Dmin7,34.0
18,G7,35.0
19,Edim,36.0
20,A7,38.0
21,G-1dim,40.0
22,B7,42.0
23,Emaj7,44.0
23,A7,45.0
24,Dmin7,46.0
24,G7,47.0
25,Cmaj7,48.0
26,E7,50.0
27,B-17,52.0
28,A7,54.0
29,G-1dim,56.0
30,B7,58.0
31,Edim,60.0
32,E-17,62.0
33,A-17,64.0
34,Dmin7,66.0
34,G7,67.0
35,Edim,68.0
36,A7,70.0
37,Ddim,72.0
38,G7,74.0
39,Cmaj7,76.0
39,Cmaj7,77.0
58,G-1dim,114.0
59,Fmin7,116.0
60,Emaj7,118.0
61,E-1dim,120.0
62,Dmin7,122.0
63,G7,124.0
64,Cmaj7,126.0
