Measure,Song For M,Time
1,Dmin7,0.0
2,G7,2.0
3,Cmin7,4.0
3,Bmin7,5.0
4,B-1min7,6.0
4,A7,7.0
5,A-1maj7,8.0
6,G7,10.0
7,Cmin7,12.0
8,F13,14.0
9,Dmin7,16.0
10,G7,18.0
11,Cmin7,20.0
11,Bmin7,21.0
12,B-1min7,22.0
12,A7,23.0
13,A-1maj7,24.0
14,G7,26.0
15,Cmin11,28.0
17,Fmin11,32.0
19,A-1min11,36.0
21,Bmin11,40.0
23,Emin11,44.0
23,Dmin11,44.666666666666664
23,Cmin11,45.333333333333336
24,B-1min11,46.0
25,Amin11,48.0
25,Gmin11,48.666666666666664
25,Fmin11,49.333333333333336
26,E-1min11,50.0
27,Dmin7,52.0
28,G7,54.0
29,Cmin7,56.0
29,Bmin7,57.0
30,B-1min7,58.0
30,A7,59.0
31,A-1maj7,60.0
32,G7,62.0
33,Cmin7,64.0
34,Cmin7,66.0
35,Cmin7,68.0
36,Bmin7,70.0
37,B-1min7,72.0
38,A-1maj7,74.0
38,G7,75.0
39,Cmin7,76.0
40,Bmin7,78.0
41,B-1min7,80.0
42,A-1maj7,82.0
42,G7,83.0
43,Cmin7,84.0
44,Bmin7,86.0
45,B-1min7,88.0
46,A-1maj7,90.0
