Measure,Voodoo,Time
2,Dmin7,2.0
2,C/D,3.0
3,Bb7,4.0
3,A7,5.0
4,Dmin7,6.0
4,F/C,7.0
5,Bb7,8.0
5,A7,9.0
6,Dmin7,10.0
6,C/D,11.0
7,Bb7,12.0
7,A7,13.0
8,Dmin7,14.0
8,F/C,15.0
9,Bb7,16.0
9,A7,17.0
10,Bb7,18.0
10,A7,19.0
11,Dmin7,20.0
12,Cmaj7,22.0
13,Bbmaj7,24.0
14,Cmaj7,26.0
15,Dmin7,28.0
16,Cmaj7,30.0
17,Emin7(b5),32.0
18,A7,34.0
19,Dmin7,36.0
19,C/D,37.0
20,Bb7,38.0
20,A7,39.0
21,Dmin7,40.0
21,F/C,41.0
22,Bb7,42.0
22,A7,43.0
23,Dmin7,44.0
23,C/D,45.0
24,Bb7,46.0
24,A7,47.0
25,Dmin7,48.0
25,F/C,49.0
26,Bb7,50.0
26,A7,51.0
