Measure,This Here,Time
1,F7,0.0
2,F7,1.5
3,F7,3.0
4,F7,4.5
5,F7,6.0
6,F7,7.5
7,F7,9.0
8,F7,10.5
9,F7,12.0
10,Bb7,13.5
11,Bb7,15.0
12,Bb7,16.5
13,Bb7,18.0
14,F7,19.5
15,F7,21.0
16,F7,22.5
17,F7,24.0
18,F7,25.5
19,F7,27.0
20,F7,28.5
21,F7,30.0
22,F7,31.5
23,F7,33.0
24,F7,34.5
25,F7,36.0
26,F7,37.5
27,F7,39.0
28,F6,40.5
29,F7,42.0
30,F7,43.5
31,F7,45.0
32,F7,46.5
33,F7,48.0
34,Bb7,49.5
35,Bb7,51.0
36,Bb7,52.5
37,Bb7,54.0
38,F7,55.5
39,F7,57.0
40,F7,58.5
41,F7,60.0
42,Bb7,61.5
43,Bb7,63.0
44,A7,64.5
45,A7,66.0
46,Ab7,67.5
47,Ab7,69.0
48,G7,70.5
49,G7,72.0
50,Ab7,73.5
51,Ab7,75.0
52,G7,76.5
52,F,77.25
54,F7,79.5
55,F7,81.0
56,F7,82.5
57,F7,84.0
60,F7,88.5
61,F7,90.0
